user_id,games_purchased,games_played,total_playtime,avg_playtime_per_game
15841586,4,0,0,0
15841597,20,12,780.1,65.0083333333333
15878832,9,1,1.8,1.8
15902605,4,0,0,0
15927737,4,1,29.0,29.0
15951451,3,1,1.9,1.9
16080105,15,3,2591.4,863.8
16081636,28,25,477.4,19.096
16084897,144,47,2215.3,47.1340425531915
16154372,119,36,747.4,20.7611111111111
16167221,32,25,1017.0,40.68
16231773,13,8,1811.9,226.4875
16261218,4,0,0,0
16285568,4,0,0,0
16421440,3,1,1.0,1.0
16574348,7,6,25.6,4.26666666666667
16645459,244,55,527.5,9.59090909090909
16710264,6,5,55.5,11.1
16717658,3,0,0,0
16720641,7,1,74.0,74.0
16821928,5,0,0,0
16919977,4,1,0.3,0.3
16990576,4,1,0.2,0.2
17017968,18,15,7108.5,473.9
17135392,4,0,0,0
17284266,16,3,33.1,11.0333333333333
17299575,8,1,16.1,16.1
17352311,8,2,1.5,0.75
17414305,30,16,832.8,52.05
17432212,8,1,0.6,0.6
17495098,64,35,1396.3,39.8942857142857
17497581,34,20,829.1,41.455
17530772,304,209,2845.6,13.6153110047847
17531316,6,0,0,0
17556127,3,1,0.4,0.4
17567828,144,90,3200.9,35.5655555555556
17649444,47,23,4001.9,173.995652173913
17821133,4,1,5.5,5.5
17878330,8,1,0.2,0.2
17894253,3,2,5.1,2.55
17947811,4,0,0,0
17995238,149,112,5808.8,51.8642857142857
18036199,26,9,341.9,37.9888888888889
18066817,23,9,100.9,11.2111111111111
18074031,17,8,357.5,44.6875
18109027,14,6,41.5,6.91666666666667
18149166,21,11,1199.7,109.063636363636
18263482,10,3,18.8,6.26666666666667
18319108,6,1,0.1,0.1
18500119,17,9,870.6,96.7333333333333
18604016,8,5,446.9,89.38
18607065,2,0,0,0
18611287,3,0,0,0
18675025,4,0,0,0
18697313,8,1,1.2,1.2
18869916,6,1,2.2,2.2
18888504,10,1,37.0,37.0
18897058,9,3,1.1,0.366666666666667
19062398,8,3,1365.6,455.2
19085114,99,77,1699.8,22.0753246753247
19094181,9,6,3.9,0.65
19302548,13,3,91.2,30.4
19306933,4,1,0.2,0.2
19422331,1,1,5.7,5.7
19430377,3,1,3.0,3.0
19510434,5,3,16.7,5.56666666666667
19586574,26,20,206.7,10.335
